Unnamed: 0,text,Emotion,label
,im feeling rather rotten im ambitious right,,0.0
,im updating blog feel shitty,,0.0
,never make separate ever want feel like ashamed,,0.0
,left bouquet red yellow tulips arm feeling slightly optimistic arrived,,1.0
,feeling little vain one,,0.0
,cant walk shop anywhere feel uncomfortable,,4.0
,felt anger end telephone call,,3.0
,explain clung relationship boy many ways immature uncommitted despite excitement feeling getting accepted masters program university virginia,,1.0
,like breathless feeling reader eager see happen next,,1.0
,jest feel grumpy tired pre menstrual probably week im fit walrus vacation summer,,3.0
,feel particularly agitated,,4.0
,feel beautifully emotional knowing women knew handful holding baba journey,,0.0
,pay attention deepens feeling invaded helpless,,4.0
,feel extremely comfortable group people dont even need hide,,1.0
,find odd position feeling supportive,,2.0
,feeling heartbroken im sure katniss,,0.0
,feel little mellow today,,1.0
,feel like role would tear sails pessimism discontent,,0.0
,feel bcoz fight get mad n u wanna make publicity n let world knows fight,,3.0
,feel like reds purples rich kind perfect,,1.0
,im sure feeling loss ever go away may dull sweet feeling nostalgia shared life dad luck dad years,,0.0
,feel like ive gotten know many comments emails im appreciative glad part little space,,1.0
,survey posts last years feel pleased vague snippets feel little bits capture like someone like dublin st century,,1.0
,also tell hopes anyone still feeling stigmatized ashamed mental health issues let go stigma let go shame,,0.0
,feel guilty like going able cook,,0.0
,hate feel fearful absolutely reason,,4.0
,feeling outraged shows everywhere,,3.0
,stole book one time favorite authors feel like rotten person,,0.0
,feel insecure sometimes doesnt,,4.0
,highly recommend visiting wednesday youre able less crowded get ask farmers questions without feeling rude holding line,,3.0
,ive missing feeling restless home thinking,,4.0
,posted facebook page earlier week ive feeling little grumpy sorts past days,,3.0
,start feel emotional,,0.0
,feel cold href http irish,,3.0
,feel like defective something baby fever,,0.0
,feel virtuous eat veggies dipped hummus,,1.0
,feel honoured included magzine prioritises health clean living highly im curious read magazines concerned health clean lifestyles green parent,,1.0
,spent last two weeks school feeling miserable,,0.0
,im feeling peaceful wedding,,1.0
,talking coach claudia barcomb coach ali boe long time made feel welcomed union,,1.0
,feel completely hated things exercise democratic right speak mind ever ways possible try enact change,,3.0
,feel humiliated embarrassed foolish remember others felt way kinds things kind helpful accepting,,0.0
,feel reassured dealing diet right way good,,1.0
,feel agree even though imagine rather unpleasant possible cases,,0.0
,im happy mood today feel almost delighted havent done anything different today normally wonderful,,1.0
,im feeling really place irritated,,3.0
,also know feel nothing friendly affection,,1.0
,feel like rather productive weekend cant always say matter much get done,,1.0
,im feeling insecure moment,,4.0
,feeling pretty anxious day first day work good day helped lot,,4.0
,stood finally stood feel like im punished could go back,,0.0
,feel little nervous go gym,,4.0
,feel like could go situation become successful competing life explained schaub interview href http bleacherreport,,1.0
,stop anxiety feel alone got distractions,,0.0
,im trying feel house style im living creative carte blanche,,1.0
,tried see would like liked one girl friends never really worked ever feel emotional connection friends,,0.0
,every intention gardening morning still cool feeling rotten,,0.0
,good feeling excited,,1.0
,feel like starting understand blessings come submissive father,,0.0
,think things ive said stuff done makes feel disgusted making happy smile far,,3.0
,woke yesterday monday morning feeling little depressed,,0.0
,feel embarrassed,,0.0
,spent wandering around still kinda dazed feeling particularly sociable id hiding couple days getting little unhealthy made go cross hang folks,,1.0
,honestly say sistahs chat feel invigorated blessed,,1.0
,still feel stupid class cause pbss fault,,0.0
,feel little stunned imagine folks working studio morning feeling,,5.0
,admit im feeling little bit unloved point,,0.0
,feel bit stressed even though things going fun,,3.0
,im feeling pretty anxious,,4.0
,feel shocked sad fact many sick people,,5.0
,think always proponents idea slightly possible feelings particularly charming new england girl brought around way thinking,,1.0
,feel like naughty school girl falling behind,,2.0
,right handed however play billiards left handed naturally trying play right handed feels weird,,5.0
,feel kind friendly understand feelings,,1.0
,go overseas cross border become foreigner feel way never beloved land,,2.0
,feel disgusted man power talks electricity problem area says even house similar problems,,3.0
,feel transcendant splendid,,1.0
,finally arrived home couple hours later feeling somewhat exhausted dehydrated even sun burnt,,0.0
,feeling totally relaxed comfy,,1.0
,want feel gentle embrace,,2.0
,feel privileged world,,1.0
,people person fuckin reason people feel come bore fuckin petty garbage,,3.0
,realized mistake really feeling terrible thinking,,0.0
,suppose feel trusting sometimes,,1.0
,came home waiting shower read something made upset thats feel discontent haha,,0.0
,woke feeling crappy tired fighting feeling day maybe pollen barometric pressure dont know know kilter,,0.0
,feel like paradise kissing sweet lips make feel like dive magical world love,,1.0
,feeling happy,,1.0
,running approximate minute pace feel quite acceptable,,1.0
,feel disappointed ex girlfriend call back,,0.0
,feeling people using need enjoying feeling flies carefree tongue alright,,1.0
,feeling uncertain merits posting blog frequency earnestness previous year,,4.0
,plain feel envious self confidence,,3.0
,feeling weird day went away minutes took metformin,,4.0
,friend dropped frog neck,,3.0
,im feeling angry someone something thoughtful feelings toward soften,,3.0
,love neglecting blog sometimes feel faithful readers,,2.0
,lay bed feeling though awaiting unwelcome visitor nevertheless told strong thought good things felt better,,0.0
,feel heart tortured done,,3.0
,still feeling weepy strung maggie treated ice cream movie href http www,,0.0
,feel needy comfortable feel vulnerable secure feel urge cum hard get relief,,0.0
,journaled tendency sometimes overcommit make feel exhausted overwhelmed,,0.0
,started feeling discouraged morning,,0.0
,feel agitated foresee frustrations earlier leading ending relationship,,4.0
,grab air smooth frame feels cold touch,,3.0
,angry boyfriend promised come see spent evening pals,,3.0
,hate sitting hostel writing feeling perfectly fine get home problems wall,,1.0
,exercise feel energetic able perform tasks good manner,,1.0
,looked mabel morning named left breast mabel right one hazel feel weird mixture anger loss valerie wrote less month diagnosis,,4.0
,im feeling pretty disheartened whole thing,,0.0
,feel input valued less potent say irfan pathan,,1.0
,feel generous,,2.0
,even feel little shaky,,4.0
,feeling better though dont sound,,1.0
,always feel troubled road touring living van recently circus buses place hang hat song lyric,,0.0
,feel world much innocent place,,1.0
,feel thoroughly virtuous even daily trip compost bin pleasant experience,,1.0
,im feeling anything suspicious really,,4.0
,feeling little sentimental today,,0.0
,feel like know starting develop likes dislikes though keen snap evictions seemed pretty pointless first one go returned two webmates made absolutely zero impact missed,,1.0
,feel less whiney since sun came sf area,,0.0
,made wonderfull new friend,,1.0
,feel almost embarrassed mention single redshank common sandpiper would want mention lone wood sandpiper present waters edge,,0.0
,know easy feel little envious cant tell shouldnt,,3.0
,would feel awful whole time,,0.0
,feel mislead someone really really thought knew liked much,,2.0
,feel like doomed us humans,,0.0
,going check minutes clock screen keeps ticking minutes left feeling bit frantic,,4.0
,got sleep could choose woken alarm definitely take anything makes feel groggy,,0.0
,ive boring weeks feeling bit gloomy cause rainy days,,0.0
,feel information vital moving day complete read,,1.0
,im feeling generous today heres one may already seen good chuckle,,2.0
,feel awkward calling one people blue hang rather familiar deeper level kith kin,,0.0
,like feeling get someone even little bit offended offhand remark made,,3.0
,get crumble thanks feeling need tell im one fucked,,3.0
,controlling growth business every time post work client feel even determined make full time business one day,,1.0
,pregnant dean spent rest pregnancy feeling terrified another baby,,4.0
,actually feel agitated led terrible day yesterday unable concentrate anything basically piddled day away,,3.0
,ed tell know feel shamed eating protein bar breakfast fact ate one makes shameful fact make made hang head tuck tail,,0.0
,feel radiant bright accomplished happy,,1.0
,feel refrigerator magnets popular years ago,,1.0
,feeling touch deprived happening,,0.0
,feeling apprehensive also wildly excited,,4.0
,feeling pretty relaxed time boarded new looking airbus headed hazy sky en route honolulu,,1.0
,quiet person say feel important,,1.0
,think started feel little homesick,,0.0
,feeling eager start work man works literally says uhm guys want go back see find anything,,1.0
,feel uncomfortable since smaller rib cage bigger chest either spilling top tank elastic band support tight loose,,4.0
,im feeling reluctant exit freshly cleaned apartment stayed cleaning late last night,,4.0
,feel need know depend put position supporting someone else supported someone else,,2.0
,im feeling rather angsty listless,,0.0
,try best love shed light feel deeply compassionate problems hurt even someone media,,2.0
,uncomfortable feeling weird feelings sure contractions since never really felt contractions jared jacked pitocin,,5.0
,feel gloomy tired,,0.0
,really like person feel question really asked sincere place love concern move forward light sexuality study recently href http www,,1.0
,would force eat normal routine clean meals day started feeling awful,,0.0
,feel rather privileged witnessed great man action really impossible novice like work one four identical looking riders,,1.0
,feel like im spa getting wonderful facial use,,1.0
,feel petty sudden,,3.0
,hope like honest amp raw blog post amp feeling unhappy hope makes feel less alone,,0.0
,feel slightly disgusted well,,3.0
,quite surprised weather past days im thankful since still wear shorts without feeling cold yes kidding,,3.0
,feel slightly relaxed,,1.0
,feel shy admit struggling haul single computer,,4.0
,went script would like mustard sauce started feel really startled,,4.0
,enjoy colleagues feeling sociable today,,1.0
,im feeling ive liked pregnant,,2.0
,feel tender touch enfold love,,2.0
,lost people hate really hard time letting go people feel loyal,,2.0
,interest make effort meet men chance arrises feel burdened negative thoughts another idiot one thing,,0.0
,feel nutritionally supportive well,,2.0
,feel impatient post blog entry feel ive gotten words written world,,3.0
,trying hardest get place join finally feel like something worthwhile say,,1.0
,admit feel amused see pti jamiat whole lot others media try avoid suggestion actually protesting use sharia case raymond davis release,,1.0
,feel embarrassed got bad,,0.0
,im feeling really bitter one,,3.0
,feel brave today heading amman beirut way istanbul feel brave today href http jessicadickinsongoodman,,1.0
,fab christmas amazing new year family friends odds feel optimistic,,1.0
,feel like loser everyone says lost dont know exactly hate oh,,0.0
,feel defeated others feel refreshed,,0.0
,feeling particularly vulnerable specific area began talking friends interestingly enough incredible understanding struggle,,4.0
,go onto officer memorial page reflect feelings wonderful officer seems make feel little better,,1.0
,im group people still feel isolated outside looking,,0.0
,feel blessed know family,,2.0
,feel terrified landlord changed locks yet,,4.0
,loosing feel like much share many anything unfortunate anything makes grateful,,0.0
,like eating meals feel virtuous,,1.0
,left feeling pretty thrilled opportunity least throw name hat,,1.0
,feel kinda weird andrea tries talk chris,,4.0
,loved ellie didnt feel insulted rude douche baggy things lothaire said according ellie insults hurt come somebody respect damn straight,,3.0
,feel pretty triumphant,,1.0
,im enjoying solitary confinement home rarely feel lonely,,0.0
,dramatic feel strongly resolved speak next chance get,,1.0
,really dont like quinn feel like end hurting barney hated lame ted robin storyline,,3.0
,feel lousy shouldnt focusing,,0.0
,cant remember ever feeling exhausted took trips car last day get everything brought trailer,,0.0
,wrote two years ago many things feel unsure maybe,,4.0
,feel suspicious informality lack credentials,,4.0
,receive every month make proud feel appreciative,,1.0
,feel third situation pretty much sums feelings toward title,,1.0
,wanted feel hands reached take waiting eager mouth,,1.0
,feel gentle way wth,,2.0
,got home feeling hot tired great,,2.0
,feel creative,,1.0
,feel talented use computer,,1.0
,feel unfathomably rich healthy pregnancy far,,1.0
,wish know whether feel sympathetic towards airline american say plane fire pilot exploded whether want set fire say decided walk obligations save money,,2.0
,want feel pressured,,4.0
,still feel frightened world yet near much used,,4.0
,im feeling mellow,,1.0
,wake early feel grumpy,,3.0
,believe come work place try make feel humiliated know deep heart know one ashamed,,0.0
,finally get laugh left feeling delighted exhausted privileged,,1.0
,remembering feeling skeptical,,4.0
,pretty brazen goals day feel stronger confident going reach desired end result,,1.0
,feel dirty talking people personal gain,,0.0
,sat cold flashed back going hockey city classic degree weather feeling cold even though degree difference night,,3.0
,feel numb carry wonder get,,0.0
,somewhat coerced blog review feel bit rushed flustered,,3.0
,guess wont feel jealous since often mothering pool nice husband,,3.0
,im sure feel needing exercise maintain pleasant demeanor,,1.0
,feel alarmed,,4.0
,think wanted audiences feel impressed inspired entertained stage,,5.0
,wasnt feeling well yesterday morning afternoon laid bed ended familiar youtube black hole,,1.0
,terrible feelings hyped talented,,1.0
,take half marathon challenge wait see body feels whether pb attempt casual kilometre shuffle,,1.0
,help feel pissed sides debate unnecessary dichotomy,,3.0
,feel like cant respected self respect regular hate self,,1.0
,smiled feeling longing said maybe later buddy make lunch,,2.0
,truly unfortunate majority time usually drained obtain hard get bed really feel restless others,,4.0
,feeling rather damaged,,0.0
,said feel ugly today,,0.0
,left garmin bike going feel coming transition amazing hearing cheers adrenaline going crazy,,1.0
,feel smart find ways trick like,,1.0
,love dance often feel inhibited body unsure capable hyper concerned people watching opinions style feeling awkward idea supposed,,4.0
,feel like cards perfect thing make,,1.0
,feel like heroine tragic manga,,0.0
,feel safer working part time casual hr,,1.0
,ambushed apparently fault feel worthless,,0.0
,feel privileged part something eternal precious lord jesus shed blood churches like could exist,,1.0
,feel wholly inadequate task,,0.0
,feeling bit naughty scanning article magazine know many people would love read thi,,2.0
,see pitchers mound little league diamond feel anxious looks isolated,,4.0
,feel like joining masses goes rebellion popular mentality ha goth take peace knowing making resolutions everyone else,,1.0
,feel disillusioned occult come feel greater connection earth,,0.0
,feel stupid whenever happens,,0.0
,come home feel shitty cant bring work need,,0.0
,feel like irritable sensitive combination skin finally met match,,3.0
,like though top makes feel clever association,,1.0
,practice meditation feel overwhelmed hopefully become successful peaceful practice,,5.0
,feel like vain cant right feel wrong heart mine,,0.0
,hope everyone help charity work without feeling stressed things,,0.0
,feel guilty putting child daycare,,0.0
,get frustrated unresolved issues past severe negative effect behavior feel must angry resolved,,3.0
,feel blessed beyond blessed share life week,,2.0
,feel devastated things lost remind grateful still,,0.0
,im feeling energetic,,1.0
,come understand feelings neither positive negative,,1.0
,like asked reason behind mood feeling gloomy laughs,,0.0
,feel really bothered lack time get find inspiration,,3.0
,used able hang around talk cashier putting away money feel rushed stressed take second fumble coins put purse,,3.0
,feel frustrated world around lies shattered go walk rain body could see eyes full tears delivery system justice conceptualized courts learning hard way,,3.0
,realized passionate helping women feel accepted appreciated,,1.0
,could change emphasis say stella noticing feeling impatient,,3.0
,like outsourcing picky sod usually end feeling dissatisfied work others force outsource need realize everything,,3.0
,feel blessed honored get parents,,2.0
,feel welcomed little weird,,1.0
,feel like entertained sd day,,1.0
,ive struggled mightily today even though feel cranky tired unmotivated still really going going sleep eleven thirty,,3.0
,remember sitting porch feeling drained alone even sunlight bathed hair warm radiance light breeze cooled cheeks,,0.0
,didnt feel rushed things dhawan tweet script type text javascript src http platform,,3.0
,realized feeling really irritated saying,,3.0
,balancing hands feet hanging feels like pretty far im terrified let drop im totally calm time hanging,,4.0
,feel fucking worthless,,0.0
,feel like lot men royally fucked go life wreaking havoc end destroying process,,3.0
,feel devastated art style copied,,0.0
,feel fine feeling well fine,,1.0
,begin feel distraught must,,4.0
,also didnt feel could mad god know inside god nothing without purpose,,3.0
,think feeling little drained work well,,0.0
,gather supplies start check progress via internal exam head midwife prepares start iv calmly asks others assistance feel reassured calmness,,1.0
,feel crappy eat crappy,,0.0
,feel numb,,0.0
,feel extremely honoured received prestigious award,,1.0
,im feeling adventurous successful quest far,,1.0
,feel thrilled three distinguished individuals,,1.0
,figured parents wont make feel accepted stopped trying turned romantic relationships men,,2.0
,left feeling empty,,0.0
,feel pretty much like scene href http www,,1.0
,may really feeling superior certainly feeling answers wasnt,,1.0
,feel ludicrous wasting space trite looked book first come something little original,,5.0
,feel like wimpy canoe floating towards rising tsunami,,4.0
,feel sympathetic towards tired weary see split second doubt could make effortless action standing still seem like better option,,2.0
,start feel unloved unappreciated,,0.0
,want know feeling loving loved,,2.0
,feel strange talking less serious things right like cooking,,4.0
,sometimes urges freak feel bothered usually nothing caused feel bothered irritated scratch arms mad,,3.0
,feel miserable doesnt care,,0.0
,surprised cause like ok feel crappy continues like days really try avoid getting sickness,,0.0
,im feeling slightly irritable today,,3.0
,like add things already completed day new list feel productive cross,,1.0
,always feel rushed emails dont like asa este,,3.0
,feel like sweet apple,,2.0
,impressed show especially hs moved talented kids feel passionate productions music theatre schools always happy endorse many hs productions throughout seasons time,,2.0
,feel like supporting somehow im sure,,1.0
